Timestamp,Actor,Behavior,Recipient,Location,Outside assigned observation time
12/30/2015 10:57,Start,Start,Start,Start,
12/30/2015 11:03,"3, 11",Fighting,"3, 11",LL,
12/30/2015 11:03,"1, 7",Fighting,"1, 7",LL,
12/30/2015 11:04,"1, 7",Fighting,"1, 7",LL,
12/30/2015 11:04,"7, 11",Fighting,"7, 11",LL,
12/30/2015 11:04,"1, 11",Fighting,"1, 11",LL,
12/30/2015 11:05,"2, 7",Fighting,"2, 7",UR,
12/30/2015 11:05,"2, 11",Fighting,"2, 11",LL,
12/30/2015 11:05,"1, 3",Fighting,"1, 3",LR,
12/30/2015 11:05,"2, 7",Fighting,"2,7",LR,
12/30/2015 11:05,"2, 11",Fighting,"2, 11",LR,
12/30/2015 11:05,"1, 2",Fighting,"1, 2",LR,
12/30/2015 11:06,"2, 11",Fighting,"2,11",LL,
12/30/2015 11:06,"7, 11",Fighting,"7, 11",LR,
12/30/2015 11:07,"5, 11",Fighting,"5, 11",LL,
12/30/2015 11:07,"3, 11",Fighting,"3, 11",LR,
12/30/2015 11:07,"1, 3",Fighting,"1, 3",LL,
12/30/2015 11:07,"3, 11",Fighting,"3, 11",LR,
12/30/2015 11:08,"5, 11",Fighting,"5, 11",LL,
12/30/2015 11:08,"5, 9",Fighting,"5, 9",LL,
12/30/2015 11:08,"5, 7",Fighting,"5, 7",LL,
12/30/2015 11:08,"3, 9",Fighting,"3, 9",LL,
12/30/2015 11:09,"5, 10",Fighting,"5, 10",LL,
12/30/2015 11:09,"9, 12",Fighting,"9, 12",LL,
12/30/2015 11:09,"2, 9",Fighting,"2, 9",LL,
12/30/2015 11:10,"1, 5",Fighting,"1, 5",LL,
12/30/2015 11:10,"9, 10",Fighting,"9, 10",LL,
12/30/2015 11:10,"5, 7",Fighting,"5, 7",LR,
12/30/2015 11:10,"6, 10",Fighting,"6, 10",LL,
12/30/2015 11:10,"6, 11",Fighting,"6, 11",LL,
12/30/2015 11:11,"5, 6",Fighting,"5, 6",LL,
12/30/2015 11:11,"9, 11",Fighting,"9, 11",LL,
12/30/2015 11:11,"5, 11",Fighting,"5, 11",LL,
12/30/2015 11:12,"11, 12",Fighting,"11, 12",LL,
12/30/2015 11:12,"5, 11",Fighting,"5, 11",LL,
12/30/2015 11:12,"11, 12",Fighting,"11, 12",LL,
12/30/2015 11:13,"6, 9",Fighting,"6, 9",NB1,
12/30/2015 11:13,"2, 9",Fighting,"2, 9",NB1,
12/30/2015 11:14,"2, 9",Fighting,"2, 9",NB2,
12/30/2015 11:14,2,Fighting,4,NB1,
12/30/2015 11:14,"5, 11",Fighting,"5, 11",LR,
12/30/2015 11:14,"5, 11",Fighting,"5, 11",LL,
12/30/2015 11:15,"11, 12",Fighting,"11, 12",LL,
12/30/2015 11:15,"5, 11",Fighting,"5, 11",LL,
12/30/2015 11:16,"1, 3",Fighting,"1, 3",MR,
12/30/2015 11:16,"7, 11",Fighting,"7, 11",LL,
12/30/2015 11:16,"1, 3",Fighting,"1, 3",MR,
12/30/2015 11:16,"6, 12",Fighting,"6, 12",NB2,
12/30/2015 11:16,"2, 9",Fighting,"2, 9",NB5,
12/30/2015 11:17,"1, 12",Fighting,"1, 12",LR,
12/30/2015 11:17,"2, 6",Fighting,"2, 6",LR,
12/30/2015 11:17,"6, 11",Fighting,"6, 11",LR,
12/30/2015 11:18,"3, 6",Fighting,"3, 6",LR,
12/30/2015 11:18,"5, 6",Fighting,"5, 6",LR,
12/30/2015 11:18,"2, 11",Fighting,"2, 11",LL,
12/30/2015 11:19,"2, 6",Fighting,"2, 6",LL,
12/30/2015 11:19,"3, 5",Fighting,"3, 5",LL,
12/30/2015 11:19,"3, 11",Fighting,"3, 11",LL,
12/30/2015 11:19,"2, 3",Fighting,"2, 3",LL,
12/30/2015 11:20,"11, 12",Fighting,"11, 12",LL,
12/30/2015 11:20,"11, 12",Fighting,"11, 12",LR,
12/30/2015 11:21,"2, 5",Fighting,"2, 5",NB5,
12/30/2015 11:21,"2, 6",Fighting,"2, 6",NB5,
12/30/2015 11:22,"11, 12",Fighting,"11, 12",LR,
12/30/2015 11:22,"6, 11",Fighting,"6, 11",LL,
12/30/2015 11:23,1,"Fighting, Chasing, Mounting",4,MR,
12/30/2015 11:23,"1, 7",Fighting,"1, 7",MR,
12/30/2015 11:24,"1, 6",Fighting,"1, 6",LL,
12/30/2015 11:24,"1, 6",Fighting,"1, 6",LR,
12/30/2015 11:24,2,Fighting,8,NB1,
12/30/2015 11:26,"1, 3",Fighting,"1, 3",MR,
12/30/2015 11:27,"1, 9",Fighting,"1, 9",MR,
12/30/2015 11:27,"1, 7",Fighting,"1, 7",MR,
12/30/2015 11:29,6,Fighting,10,LL,
12/30/2015 11:29,"5, 6",Fighting,"5, 6",LR,
12/30/2015 11:35,"3, 6",Fighting,"3, 6",NB3,
12/30/2015 11:35,3,Fighting,4,NB3,
12/30/2015 11:40,"2, 9",Fighting,"2, 9",LL,
12/30/2015 11:41,"2, 6",Fighting,"2, 6",LL,
12/30/2015 11:41,"2, 9",Fighting,"2, 9",LR,
12/30/2015 11:42,"2, 6",Fighting,"2, 6",LR,
12/30/2015 11:42,"5, 9",Fighting,"5, 9",LR,
12/30/2015 11:44,"2, 9",Fighting,"2, 9",LR,
12/30/2015 11:44,"2, 9",Fighting,"2, 9",NB3,
12/30/2015 11:48,"2, 9",Fighting,"2, 9",NB2,
12/30/2015 11:51,5,Subordinate,11,LL,
12/30/2015 11:51,"5, 9",Fighting,"5, 9",NB2,
12/30/2015 11:52,1,"Fighting, Chasing",7,UR,
12/30/2015 11:52,1,Fighting,7,UL,
12/30/2015 11:53,5,Subordinate,7,NB3,
12/30/2015 11:53,5,Subordinate,11,LL,
12/30/2015 11:54,2,Subordinate,11,LL,
12/30/2015 11:54,"1, 3",Fighting,"1, 3",MR,
12/30/2015 11:54,"1, 3",Fighting,"1, 3",ML,
12/30/2015 11:55,"2, 3",Fighting,"2, 3",MR,
12/30/2015 11:55,"1, 3",Fighting,"1, 3",MR,
12/30/2015 11:56,"1, 3",Fighting,"1, 3",MR,
12/30/2015 11:56,"1, 3",Fighting,"1, 3",MR,
12/30/2015 12:00,End,End,End,End,
12/30/2015 12:05,1,Fighting,2,UR,Yes
12/30/2015 12:10,1,"Fighting, Chasing",12,UR,Yes
12/30/2015 12:14,3,Fighting,7,UR,Yes
12/30/2015 12:38,4,"Fighting, Chasing",10,MR,Yes
12/30/2015 12:38,"3, 5",Fighting,"3, 5",UR,Yes
12/30/2015 12:39,5,"Fighting, Chasing",4,UR,Yes
12/30/2015 12:42,12,"Fighting, Mounting",7,MR,Yes
12/30/2015 12:48,4,Fighting,11,NB3,Yes
12/30/2015 12:49,4,Fighting,8,NB2,Yes
12/30/2015 12:49,4,Fighting,8,NB2,Yes
12/30/2015 12:49,4,Fighting,12,NB5,Yes
12/30/2015 12:55,3,Subordinate,11,NB5,Yes
12/30/2015 13:00,4,Fighting,10,NB5,Yes
12/30/2015 13:00,4,Fighting,1,NB5,Yes
12/30/2015 17:30,5,Fighting,11,LL,Yes
12/30/2015 17:31,5,"Fighting, Chasing",1,UL,Yes
12/30/2015 17:32,9,Fighting,4,NB4,Yes
12/30/2015 17:32,12,Chasing,2,LL,Yes
12/30/2015 17:33,9,Fighting,4,NB4,Yes
12/30/2015 17:34,9,Fighting,10,NB4,Yes
12/30/2015 17:34,9,"Fighting, Chasing",11,LL,Yes
12/30/2015 17:36,8,Mounting,12,NB4,Yes
12/30/2015 17:36,2,Fighting,10,MR,Yes
12/30/2015 17:36,5,"Fighting, Chasing",2,LR,Yes
12/30/2015 17:37,8,Chasing,6,NB5,Yes
12/30/2015 17:38,5,"Fighting, Chasing",4,MR,Yes
12/30/2015 17:38,5,"Fighting, Chasing",10,NB4,Yes
12/30/2015 17:39,5,Chasing,2,NB1,Yes
12/30/2015 17:39,9,"Fighting, Chasing",4,LL,Yes
12/30/2015 17:40,5,Subordinate,4,MR,Yes
12/30/2015 17:40,7,"Chasing, Mounting",5,Start,Yes
12/30/2015 17:41,2,"Fighting, Chasing",4,UL,Yes
12/30/2015 17:41,2,"Fighting, Chasing",11,LL,Yes
12/30/2015 17:42,2,"Fighting, Chasing",4,LR,Yes
12/30/2015 17:42,5,"Fighting, Chasing",2,LL,Yes
12/30/2015 17:45,3,"Fighting, Chasing, Mounting",12,NB1,Yes
12/30/2015 17:45,5,"Fighting, Chasing",1,UR,Yes
12/30/2015 17:46,5,"Fighting, Chasing",1,LL,Yes
12/30/2015 17:47,5,"Fighting, Chasing",10,MR,Yes
12/30/2015 17:47,9,Fighting,8,LR,Yes
12/30/2015 17:48,5,"Fighting, Chasing",6,ML,Yes
12/30/2015 17:48,7,Mounting,12,MR,Yes
12/30/2015 17:48,5,"Fighting, Chasing",7,Start,Yes
12/30/2015 17:49,12,"Fighting, Chasing",10,LR,Yes
12/30/2015 17:50,5,"Fighting, Chasing",10,UR,Yes
12/31/2015 11:13,5,"Fighting, Chasing",6,MR,Yes
12/31/2015 11:16,5,Fighting,9,NB2,Yes
12/31/2015 11:17,5,Fighting,12,LR,Yes
12/31/2015 12:00,Start,Start,Start,Start,
12/31/2015 12:05,5,Fighting,1,NB3,
12/31/2015 12:06,5,Chasing,10,NB5,
12/31/2015 12:09,4,"Fighting, Chasing",1,UR,
12/31/2015 12:13,4,Fighting,1,UR,
12/31/2015 12:13,4,Fighting,6,UR,
12/31/2015 12:15,"4, 6",Fighting,"4, 6",UR,
12/31/2015 12:16,4,Fighting,6,UL,
12/31/2015 12:17,6,Chasing,4,UR,
12/31/2015 12:21,6,"Fighting, Chasing",4,UR,
12/31/2015 12:21,6,Fighting,4,UL,
12/31/2015 12:22,12,Subordinate,10,LR,
12/31/2015 12:24,2,"Fighting, Chasing",10,UL,
12/31/2015 12:27,2,"Fighting, Chasing",10,UL,
12/31/2015 12:27,9,Fighting,6,UR,
12/31/2015 12:27,12,Fighting,4,UL,
12/31/2015 12:27,4,Fighting,11,UL,
12/31/2015 12:27,12,Fighting,4,UL,
12/31/2015 12:28,2,Fighting,4,LR,
12/31/2015 12:35,4,Induce-flee,3,NB5,
