"","cohort","mouse","day","MUPs"
"1",53,"mouse1","pair1",0.90493222
"2",53,"mouse1","pair2",2.560509814
"3",53,"mouse1","pair3",12.6277759
"4",53,"mouse1","day1",10.70601311
"5",53,"mouse1","day2",13.32998213
"6",53,"mouse1","day3",8.599849744
"7",53,"mouse1","day4",16.11767433
"8",53,"mouse1","day5",16.4554241
"9",53,"mouse1","day6",12.41379254
"10",53,"mouse1","day7",13.11340138
"11",53,"mouse1","day9",9.636326539
"12",53,"mouse1","day10",9.881424245
"13",53,"mouse1","day11",10.71053576
"14",53,"mouse1","day12",8.931110414
"15",53,"mouse1","day13",13.0903201
"16",53,"mouse1","day14",8.308969868
"17",53,"mouse1","day15",8.865676812
"18",53,"mouse1","day17",13.65471897
"19",53,"mouse1","day19",16.80319564
"20",54,"mouse1","day3",8.185957144
"21",54,"mouse1","day4",9.834390579
"22",54,"mouse1","day5",8.17976436
"23",54,"mouse1","day6",11.4511205
"24",54,"mouse1","day7",8.368483233
"25",54,"mouse1","day9",10.33964388
"26",54,"mouse1","day11",10.24348874
"27",54,"mouse1","day13",NA
"28",54,"mouse1","pair1",9.505305261
"29",54,"mouse1","pair2",16.02168754
"30",54,"mouse1","pair3",13.73135927
"31",54,"mouse1","day1",7.035224908
"32",54,"mouse1","day2",6.002834006
"33",54,"mouse1","day15",13.44974095
"34",54,"mouse1","day17",10.6936731
"35",54,"mouse1","day19",17.82520793
"36",55,"mouse1","day4",8.51220009
"37",55,"mouse1","day1",13.44109181
"38",55,"mouse1","day2",15.76781021
"39",55,"mouse1","day3",11.74437464
"40",55,"mouse1","day9",10.68476813
"41",55,"mouse1","day5",10.74569249
"42",55,"mouse1","day6",15.96819439
"43",55,"mouse1","day7",11.69516851
"44",55,"mouse1","pair1",10.92015881
"45",55,"mouse1","pair2",9.125350651
"46",55,"mouse1","pair3",16.04099245
"47",55,"mouse1","day11",11.76547146
"48",55,"mouse1","day13",20.34147462
"49",55,"mouse1","day15",19.29888184
"50",55,"mouse1","day17",23.99373218
"51",55,"mouse1","day19",25.15138015
"52",56,"mouse1","pair1",3.081391372
"53",56,"mouse1","pair2",11.94937927
"54",56,"mouse1","pair3",21.40037845
"55",56,"mouse1","day15",31.91564984
"56",56,"mouse1","day2",17.13072942
"57",56,"mouse1","day3",17.18458011
"58",56,"mouse1","day4",20.02970747
"59",56,"mouse1","day1",18.50280393
"60",56,"mouse1","day11",19.72066173
"61",56,"mouse1","day17",29.33832015
"62",56,"mouse1","day19",25.67882389
"63",56,"mouse1","day7",21.57078922
"64",56,"mouse1","day5",19.54429642
"65",56,"mouse1","day6",16.31202938
"66",56,"mouse1","day13",51.26172668
"67",56,"mouse1","day9",17.66084926
"68",57,"mouse1","day13",27.80652649
"69",57,"mouse1","pair2",25.79820339
"70",57,"mouse1","pair3",32.23386174
"71",57,"mouse1","day1",26.37944438
"72",57,"mouse1","pair1",23.94927025
"73",57,"mouse1","day9",16.39544265
"74",57,"mouse1","day5",18.69685756
"75",57,"mouse1","day11",14.56512509
"76",57,"mouse1","day6",17.75010176
"77",57,"mouse1","day15",31.20778654
"78",57,"mouse1","day17",19.62702248
"79",57,"mouse1","day19",NA
"80",57,"mouse1","day2",19.42170904
"81",57,"mouse1","day3",16.87488159
"82",57,"mouse1","day4",16.93330555
"83",57,"mouse1","day7",18.90612446
"84",58,"mouse1","day13",26.51920463
"85",58,"mouse1","day6",11.4961658
"86",58,"mouse1","day2",16.83262583
"87",58,"mouse1","day3",17.67974405
"88",58,"mouse1","day19",20.85407661
"89",58,"mouse1","day7",19.21987804
"90",58,"mouse1","day15",21.50541772
"91",58,"mouse1","day17",21.98781864
"92",58,"mouse1","pair3",16.28413323
"93",58,"mouse1","day4",15.92054174
"94",58,"mouse1","pair1",9.733848354
"95",58,"mouse1","pair2",15.16426584
"96",58,"mouse1","day11",17.56240755
"97",58,"mouse1","day1",16.11333346
"98",58,"mouse1","day9",17.17258774
"99",58,"mouse1","day5",17.50561559
"100",53,"mouse10","pair3",21.99389577
"101",53,"mouse10","day14",13.04702243
"102",53,"mouse10","day19",14.93304745
"103",53,"mouse10","day6",10.95986639
"104",53,"mouse10","day4",14.90682343
"105",53,"mouse10","day12",12.25540661
"106",53,"mouse10","day13",14.10006943
"107",53,"mouse10","pair2",15.41374574
"108",53,"mouse10","day15",14.5461042
"109",53,"mouse10","day17",24.78530691
"110",53,"mouse10","day3",6.212987312
"111",53,"mouse10","day11",14.17059778
"112",53,"mouse10","day9",22.24075507
"113",53,"mouse10","day10",8.510306951
"114",53,"mouse10","day5",8.258115102
"115",53,"mouse10","day1",10.88613725
"116",53,"mouse10","pair1",5.453608764
"117",53,"mouse10","day7",8.389528732
"118",53,"mouse10","day2",9.803834203
"119",54,"mouse10","day2",12.3590031
"120",54,"mouse10","pair1",8.830414837
"121",54,"mouse10","pair2",12.4357349
"122",54,"mouse10","day4",7.093871032
"123",54,"mouse10","day1",7.346912907
"124",54,"mouse10","day19",13.01011256
"125",54,"mouse10","day17",9.844701776
"126",54,"mouse10","day11",11.37597963
"127",54,"mouse10","pair3",13.46307307
"128",54,"mouse10","day13",17.35735859
"129",54,"mouse10","day15",15.04919018
"130",54,"mouse10","day5",10.99082761
"131",54,"mouse10","day3",8.902059443
"132",54,"mouse10","day7",9.478895579
"133",54,"mouse10","day9",15.36856502
"134",54,"mouse10","day6",9.360379475
"135",55,"mouse10","day3",11.1426209
"136",55,"mouse10","day2",13.39712314
"137",55,"mouse10","day4",10.1595243
