"","cohort","mouse","day","creatinine"
"1",53,"mouse1","pair1",78.5
"2",53,"mouse1","pair2",65
"3",53,"mouse1","pair3",56.5
"4",53,"mouse1","day1",79.42857143
"5",53,"mouse1","day2",79.42857143
"6",53,"mouse1","day3",117.1428571
"7",53,"mouse1","day4",60.40816327
"8",53,"mouse1","day5",64.48979592
"9",53,"mouse1","day6",91.02040816
"10",53,"mouse1","day7",72.15583508
"11",53,"mouse1","day9",82.62403913
"12",53,"mouse1","day10",93.09224319
"13",53,"mouse1","day11",88.12757382
"14",53,"mouse1","day12",66.00192763
"15",53,"mouse1","day13",58.50170858
"16",53,"mouse1","day14",68.22582229
"17",53,"mouse1","day15",69.0191458
"18",53,"mouse1","day17",78.93568974
"19",53,"mouse1","day19",51.36612022
"20",54,"mouse1","day3",79.53416149
"21",54,"mouse1","day4",93.37562052
"22",54,"mouse1","day5",75.69957713
"23",54,"mouse1","day6",51.87534473
"24",54,"mouse1","day7",72.22534492
"25",54,"mouse1","day9",76.04679174
"26",54,"mouse1","day11",63.43601723
"27",54,"mouse1","day13",48.96384242
"28",54,"mouse1","pair1",75.26643991
"29",54,"mouse1","pair2",62.78911565
"30",54,"mouse1","pair3",42.26190476
"31",54,"mouse1","day1",65.25879917
"32",54,"mouse1","day2",57.50931677
"33",54,"mouse1","day15",64.52599388
"34",54,"mouse1","day17",42.13167836
"35",54,"mouse1","day19",42.69230769
"36",55,"mouse1","day4",71.59803831
"37",55,"mouse1","day1",131.7790531
"38",55,"mouse1","day2",135.6126255
"39",55,"mouse1","day3",106.8608321
"40",55,"mouse1","day9",105.2223006
"41",55,"mouse1","day5",132.4178773
"42",55,"mouse1","day6",76.21726659
"43",55,"mouse1","day7",119.50247
"44",55,"mouse1","pair1",97.88816267
"45",55,"mouse1","pair2",65.09803922
"46",55,"mouse1","pair3",81.97530864
"47",55,"mouse1","day11",81.54728299
"48",55,"mouse1","day13",NA
"49",55,"mouse1","day15",66.9364486
"50",55,"mouse1","day17",83.96074766
"51",55,"mouse1","day19",66.8852459
"52",56,"mouse1","pair1",57.7749539774856
"53",56,"mouse1","pair2",31.5136112604467
"54",56,"mouse1","pair3",38.7859830897806
"55",56,"mouse1","day15",42.6236667506509
"56",56,"mouse1","day2",60.1207590569293
"57",56,"mouse1","day3",62.8713820203182
