"","cohort","mouse","day","protein"
"1",53,"mouse1","pair1",0.710371793
"2",53,"mouse1","pair2",1.664331379
"3",53,"mouse1","pair3",7.134693385
"4",53,"mouse1","day1",8.50363327
"5",53,"mouse1","day2",10.58781438
"6",53,"mouse1","day3",10.0741097
"7",53,"mouse1","day4",9.736391023
"8",53,"mouse1","day5",10.61206942
"9",53,"mouse1","day6",11.29908464
"10",53,"mouse1","day7",9.462084274
"11",53,"mouse1","day9",7.961922211
"12",53,"mouse1","day10",9.198839488
"13",53,"mouse1","day11",9.438935305
"14",53,"mouse1","day12",5.894705032
"15",53,"mouse1","day13",7.658060916
"16",53,"mouse1","day14",5.668863016
"17",53,"mouse1","day15",6.119014405
"18",53,"mouse1","day17",10.7784466
"19",53,"mouse1","day19",8.631149673
"20",54,"mouse1","day3",9.34078989
"21",54,"mouse1","day4",7.948319654
"22",54,"mouse1","day5",8.134443772
"23",54,"mouse1","day6",8.28355589
"24",54,"mouse1","day7",8.446875798
"25",54,"mouse1","day9",8.125423368
"26",54,"mouse1","day11",7.463546505
"27",54,"mouse1","day13",9.959967579
"28",54,"mouse1","pair1",8.219214769
"29",54,"mouse1","pair2",5.729726973
"30",54,"mouse1","pair3",6.779228953
"31",54,"mouse1","day1",8.771495112
"32",54,"mouse1","day2",9.067959924
"33",54,"mouse1","day15",12.45279532
"34",54,"mouse1","day17",10.10896207
"35",54,"mouse1","day19",10.7377046
"36",55,"mouse1","day4",7.041230734
"37",55,"mouse1","day1",9.270952766
"38",55,"mouse1","day2",8.140600802
"39",55,"mouse1","day3",8.747581923
"40",55,"mouse1","day9",10.87961117
"41",55,"mouse1","day5",10.83147033
"42",55,"mouse1","day6",8.72773104
"43",55,"mouse1","day7",10.00054417
"44",55,"mouse1","pair1",9.304568676
"45",55,"mouse1","pair2",10.42980444
"46",55,"mouse1","pair3",11.25632414
"47",55,"mouse1","day11",8.353286747
"48",55,"mouse1","day13",NA
"49",55,"mouse1","day15",9.00277894
"50",55,"mouse1","day17",8.978487885
"51",55,"mouse1","day19",11.92243416
"52",56,"mouse1","pair1",1.780272447
"53",56,"mouse1","pair2",3.765680931
"54",56,"mouse1","pair3",8.300347167
"55",56,"mouse1","day15",13.60362023
"56",56,"mouse1","day2",10.29912456
"57",56,"mouse1","day3",10.80418301
"58",56,"mouse1","day4",9.088915615
"59",56,"mouse1","day1",9.160962727
"60",56,"mouse1","day11",8.927391866
"61",56,"mouse1","day17",12.1443447
"62",56,"mouse1","day19",14.12335314
"63",56,"mouse1","day7",8.554401796
"64",56,"mouse1","day5",10.17966758
"65",56,"mouse1","day6",9.847796153
"66",56,"mouse1","day13",12.81564693
"67",56,"mouse1","day9",9.31640674
"68",57,"mouse1","day13",8.11474508444184
"69",57,"mouse1","pair2",4.63449938312401
"70",57,"mouse1","pair3",5.27590598614896
"71",57,"mouse1","day1",7.88785578608213
"72",57,"mouse1","pair1",5.54525000505784
"73",57,"mouse1","day9",8.04613927098918
"74",57,"mouse1","day5",8.16116655401295
"75",57,"mouse1","day11",7.50529758878296
"76",57,"mouse1","day6",8.6911318555703
"77",57,"mouse1","day15",7.65015778897128
"78",57,"mouse1","day17",7.86608293871098
"79",57,"mouse1","day19",NA
"80",57,"mouse1","day2",8.59794945561735
"81",57,"mouse1","day3",8.8466143475102
"82",57,"mouse1","day4",6.87719444719061
"83",57,"mouse1","day7",8.27312227873281
"84",58,"mouse1","day13",8.01159129403916
"85",58,"mouse1","day6",8.26949785314546
"86",58,"mouse1","day2",8.8194646967185
"87",58,"mouse1","day3",8.12218006966213
"88",58,"mouse1","day19",8.61364034027081
"89",58,"mouse1","day7",8.8372003970094
"90",58,"mouse1","day15",8.8594089280122
"91",58,"mouse1","day17",9.05813963911327
"92",58,"mouse1","pair3",7.3123512532202
"93",58,"mouse1","day4",7.77104692510299
"94",58,"mouse1","pair1",6.11934599884725
"95",58,"mouse1","pair2",5.50679482448905
"96",58,"mouse1","day11",9.47271821097194
"97",58,"mouse1","day1",8.74848199247404
"98",58,"mouse1","day9",9.18653747324237
"99",58,"mouse1","day5",7.90228243361783
"100",53,"mouse10","pair3",16.49542183
"101",53,"mouse10","day14",9.988241853
"102",53,"mouse10","day19",10.47761362
"103",53,"mouse10","day6",11.80981521
"104",53,"mouse10","day4",9.248314945
"105",53,"mouse10","day12",9.329700764
"106",53,"mouse10","day13",11.3156362
"107",53,"mouse10","pair2",13.40995879
"108",53,"mouse10","day15",11.94365834
"109",53,"mouse10","day17",12.87911225
"110",53,"mouse10","day3",10.33131033
"111",53,"mouse10","day11",10.52197615
"112",53,"mouse10","day9",19.29086317
"113",53,"mouse10","day10",9.767822258
"114",53,"mouse10","day5",10.92093589
"115",53,"mouse10","day1",10.57510476
"116",53,"mouse10","pair1",5.808093334
"117",53,"mouse10","day7",8.845060795
"118",53,"mouse10","day2",10.53211903
"119",54,"mouse10","day2",8.852086704
"120",54,"mouse10","pair1",6.177729609
"121",54,"mouse10","pair2",2.638448016
"122",54,"mouse10","day4",8.822852928
"123",54,"mouse10","day1",8.636266562
"124",54,"mouse10","day19",18.58309693
"125",54,"mouse10","day17",13.37239379
"126",54,"mouse10","day11",7.643735173
"127",54,"mouse10","pair3",7.562252501
"128",54,"mouse10","day13",10.90873043
"129",54,"mouse10","day15",13.38665787
"130",54,"mouse10","day5",8.190858254
"131",54,"mouse10","day3",9.589344159
"132",54,"mouse10","day7",8.602052306
"133",54,"mouse10","day9",9.112377296
"134",54,"mouse10","day6",8.609995173
"135",55,"mouse10","day3",10.32332368
"136",55,"mouse10","day2",7.284541826
"137",55,"mouse10","day4",5.652516168
"138",55,"mouse10","pair1",5.876169734
"139",55,"mouse10","pair2",8.335283863
"140",55,"mouse10","day1",7.041230734
"141",55,"mouse10","day19",7.905598449
"142",55,"mouse10","day15",10.65567053
"143",55,"mouse10","day17",10.2083117
"144",55,"mouse10","day5",8.334600763
"145",55,"mouse10","day6",9.476269063
"146",55,"mouse10","day7",9.047763031
"147",55,"mouse10","pair3",7.85531694
"148",55,"mouse10","day9",11.55082692
"149",55,"mouse10","day11",10.7303105
"150",55,"mouse10","day13",9.737964823
"151",56,"mouse10","day3",15.08366431
"152",56,"mouse10","day1",10.23756464
"153",56,"mouse10","day11",11.50183774
"154",56,"mouse10","pair3",10.22726468
"155",56,"mouse10","day19",16.60961465
"156",56,"mouse10","day4",11.17711375
"157",56,"mouse10","day2",12.96870534
"158",56,"mouse10","day5",10.68360251
"159",56,"mouse10","day15",14.95705754
"160",56,"mouse10","pair2",7.110559262
"161",56,"mouse10","day6",NA
"162",56,"mouse10","pair1",4.18551294
"163",56,"mouse10","day9",10.17642405
"164",56,"mouse10","day17",15.86572659
"165",56,"mouse10","day7",NA
"166",56,"mouse10","day13",15.60359211
"167",53,"mouse11","day1",10.7693739
"168",53,"mouse11","day11",9.811825468
"169",53,"mouse11","day12",8.438724358
"170",53,"mouse11","day2",11.64827964
"171",53,"mouse11","day6",10.1060084
"172",53,"mouse11","pair1",10.08600586
"173",53,"mouse11","pair2",8.10355859
"174",53,"mouse11","day13",8.417052738
"175",53,"mouse11","day3",10.13645183
"176",53,"mouse11","day4",10.74248696
"177",53,"mouse11","day7",10.92426003
"178",53,"mouse11","day15",9.614103755
"179",53,"mouse11","pair3",15.95881956
"180",53,"mouse11","day19",9.913942203
"181",53,"mouse11","day10",8.763992689
"182",53,"mouse11","day9",7.679787337
"183",53,"mouse11","day17",10.72769278
"184",53,"mouse11","day14",15.90046272
"185",53,"mouse11","day5",10.02925638
"186",54,"mouse11","day5",7.523391593
"187",54,"mouse11","day2",8.529164927
"188",54,"mouse11","day1",8.241680997
"189",54,"mouse11","day17",12.70552519
"190",54,"mouse11","pair2",5.845634383
"191",54,"mouse11","day7",6.75869419
"192",54,"mouse11","day3",9.361819396
"193",54,"mouse11","pair3",9.696209141
"194",54,"mouse11","day6",7.470233265
"195",54,"mouse11","day13",13.1772728
"196",54,"mouse11","day9",8.316148843
"197",54,"mouse11","day4",7.986635411
"198",54,"mouse11","pair1",7.905953653
"199",54,"mouse11","day11",7.649098913
"200",54,"mouse11","day15",13.11032214
"201",54,"mouse11","day19",13.01102507
"202",55,"mouse11","day15",11.10353762
"203",55,"mouse11","pair2",8.21580662
"204",55,"mouse11","day2",9.746852156
"205",55,"mouse11","day3",10.08598729
"206",55,"mouse11","day17",8.640224231
"207",55,"mouse11","day13",9.124470524
"208",55,"mouse11","day9",10.70542929
"209",55,"mouse11","day11",11.60044719
"210",55,"mouse11","day4",9.873211844
"211",55,"mouse11","day19",8.640224231
"212",55,"mouse11","pair1",5.754605008
